data transacao;data pagamento prevista;data pagamento;numero unico;nsu;cnpj;adquirente;bandeira;natureza;valor bruto;valor liquido;mdr;mdr adquirente;resultado;total parcelas;numero parcela;antecipada
2020-07-28;2020-07-29;2020-07-29;d9f62317-1400-11eb-8c05-3cf0113c8263;"=""56125630634936""";8376;Global;Hiper;debito;991,61;981,69;9,92;4,96;4,96;0;1;0
2020-06-10;2020-06-11;2020-06-11;d9f62319-1400-11eb-92bb-3cf0113c8263;"=""379411931613429""";4104;Rede;Mastercard;debito;747,09;739,62;7,47;3,74;3,73;0;1;0
2020-10-18;2020-10-19;2020-10-19;d9f6369d-1400-11eb-b36d-3cf0113c8263;"=""473725790742444""";3350;Global;Hiper;debito;63,7;63,06;0,64;0,32;0,32;0;1;0
2020-08-08;2020-09-07;2020-09-07;d9f6369f-1400-11eb-b68b-3cf0113c8263;"=""82954114981202""";8086;Global;Hiper;credito;720,08;705,75;14,33;6,48;7,85;0;1;0
2020-03-01;2020-03-31;2020-03-31;d9f636a3-1400-11eb-b72a-3cf0113c8263;"=""721705971612955""";1318;Global;Elo;parcelado;111,38;108,72;2,66;1,96;0,7;4;1;0
2020-03-01;2020-04-30;2020-04-30;d9f636a5-1400-11eb-9e2a-3cf0113c8263;"=""721705971612955""";1318;Global;Elo;parcelado;111,38;108,72;2,66;1,96;0,7;4;2;0
2020-03-01;2020-05-30;2020-05-30;d9f636a7-1400-11eb-962b-3cf0113c8263;"=""721705971612955""";1318;Global;Elo;parcelado;111,38;108,72;2,66;1,96;0,7;4;3;0
2020-03-01;2020-06-29;2020-06-29;d9f64a27-1400-11eb-bda6-3cf0113c8263;"=""721705971612955""";1318;Global;Elo;parcelado;111,38;108,72;2,66;1,96;0,7;4;4;0
2020-07-07;2020-07-08;2020-07-08;d9f64a29-1400-11eb-b753-3cf0113c8263;"=""446147181627634""";9882;Global;Mastercard;debito;610,49;604,39;6,1;3,05;3,05;0;1;0
2020-08-23;2020-09-22;2020-09-22;d9f64a2b-1400-11eb-8e52-3cf0113c8263;"=""25823254755321""";4260;Global;Mastercard;credito;695,96;682,11;13,85;6,26;7,59;0;1;0
2020-06-21;2020-07-21;2020-07-21;d9f64a2f-1400-11eb-beb8-3cf0113c8263;"=""905875228793442""";8594;Global;Visa;parcelado;869,27;845,89;23,38;17,3;6,08;10;1;0
2020-06-21;2020-08-20;2020-08-20;d9f64a31-1400-11eb-b408-3cf0113c8263;"=""905875228793442""";8594;Global;Visa;parcelado;869,27;845,89;23,38;17,3;6,08;10;2;0
2020-06-21;2020-09-19;2020-09-19;d9f65daa-1400-11eb-bdd7-3cf0113c8263;"=""905875228793442""";8594;Global;Visa;parcelado;869,27;845,89;23,38;17,3;6,08;10;3;0
2020-06-21;2020-10-19;2020-10-19;d9f65dac-1400-11eb-a28d-3cf0113c8263;"=""905875228793442""";8594;Global;Visa;parcelado;869,27;845,89;23,38;17,3;6,08;10;4;0
2020-06-21;2020-11-18;;d9f65dae-1400-11eb-acc4-3cf0113c8263;"=""905875228793442""";8594;Global;Visa;parcelado;869,27;845,89;23,38;17,3;6,08;10;5;0
2020-06-21;2020-12-18;;d9f65db0-1400-11eb-8e0a-3cf0113c8263;"=""905875228793442""";8594;Global;Visa;parcelado;869,27;845,89;23,38;17,3;6,08;10;6;0
2020-06-21;2021-01-17;;d9f65db2-1400-11eb-9a4d-3cf0113c8263;"=""905875228793442""";8594;Global;Visa;parcelado;869,27;845,89;23,38;17,3;6,08;10;7;0
2020-06-21;2021-02-16;;d9f65db4-1400-11eb-9338-3cf0113c8263;"=""905875228793442""";8594;Global;Visa;parcelado;869,27;845,89;23,38;17,3;6,08;10;8;0
2020-06-21;2021-03-18;;d9f65db6-1400-11eb-b5f9-3cf0113c8263;"=""905875228793442""";8594;Global;Visa;parcelado;869,27;845,89;23,38;17,3;6,08;10;9;0
2020-06-21;2021-04-17;;d9f65db8-1400-11eb-b378-3cf0113c8263;"=""905875228793442""";8594;Global;Visa;parcelado;869,27;845,89;23,38;17,3;6,08;10;10;0
2020-03-07;2020-03-08;2020-03-08;d9f65dba-1400-11eb-adc5-3cf0113c8263;"=""600566557387539""";5855;Rede;Mastercard;debito;498,75;493,76;4,99;2,49;2,5;0;1;0
2020-09-21;2020-10-21;2020-10-21;d9f65dbc-1400-11eb-b014-3cf0113c8263;"=""968773652516353""";3612;Global;Hiper;credito;436,07;427,39;8,68;3,92;4,76;0;1;0
